good , 1 , simple loop , 1 , 1 , 1 , 1.12 , 208b
good , 3 , parallel , 1 , 1 , 1 , 1.12 , 22.1k
good , 4 , mapreduce , 1 , 1 , 1 , 1.13 , 21.7k
good , 5 , pmapsum1 , 1 , 1 , 1 , 1.11 , 8.1k
good , 6 , pmapsum2 , 1 , 1 , 1 , 1.15 , 8.5k
good , 1 , simple loop , 2 , 2 , 1 , 1.12 , 208b
good , 3 , parallel , 2 , 2 , 1 , 1.13 , 19.1k
good , 4 , mapreduce , 2 , 2 , 1 , 1.14 , 23.0k
good , 5 , pmapsum1 , 2 , 2 , 1 , 1.32 , 72.1k
good , 6 , pmapsum2 , 2 , 2 , 1 , 1.17 , 20.8k
good , 1 , simple loop , 1 , 1 , 1 , 1.11 , 208b
good , 3 , parallel , 1 , 1 , 1 , 1.13 , 22.1k
good , 4 , mapreduce , 1 , 1 , 1 , 1.13 , 21.7k
good , 5 , pmapsum1 , 1 , 1 , 1 , 1.11 , 8.1k
good , 6 , pmapsum2 , 1 , 1 , 1 , 1.1 , 8.5k
good , 1 , simple loop , 3 , 3 , 1 , 1.1 , 208b
good , 3 , parallel , 3 , 3 , 1 , 0.73 , 33.2k
good , 4 , mapreduce , 3 , 3 , 1 , 0.73 , 41.1k
good , 5 , pmapsum1 , 3 , 3 , 1 , 0.8 , 84.3k
good , 6 , pmapsum2 , 3 , 3 , 1 , 0.7 , 35.7k
good , 2 , threads_sum , 2 , 1 , 2 , 0.67 , 240b
good , 1 , simple loop , 4 , 4 , 1 , 1.1 , 208b
good , 3 , parallel , 4 , 4 , 1 , 0.65 , 47.3k
good , 4 , mapreduce , 4 , 4 , 1 , 0.63 , 58.7k
good , 5 , pmapsum1 , 4 , 4 , 1 , 0.67 , 96.5k
good , 6 , pmapsum2 , 4 , 4 , 1 , 0.58 , 51.2k
good , 2 , threads_sum , 3 , 1 , 3 , 0.58 , 240b
good , 1 , simple loop , 5 , 5 , 1 , 1.08 , 208b
good , 3 , parallel , 5 , 5 , 1 , 0.55 , 62.5k
good , 2 , threads_sum , 4 , 1 , 4 , 0.43 , 240b
good , 1 , simple loop , 6 , 6 , 1 , 1.11 , 208b
good , 3 , parallel , 6 , 6 , 1 , 0.49 , 78.1k
good , 2 , threads_sum , 5 , 1 , 5 , 0.46 , 240b
good , 1 , simple loop , 7 , 7 , 1 , 1.1 , 208b
good , 3 , parallel , 7 , 7 , 1 , 0.53 , 93.8k
good , 2 , threads_sum , 6 , 1 , 6 , 0.35 , 240b
good , 1 , simple loop , 8 , 8 , 1 , 1.07 , 208b
good , 3 , parallel , 8 , 8 , 1 , 0.52 , 109.2k
good , 2 , threads_sum , 7 , 1 , 7 , 0.35 , 240b
good , 1 , simple loop , 9 , 9 , 1 , 1.1 , 208b
good , 3 , parallel , 9 , 9 , 1 , 0.5 , 126.4k
good , 4 , mapreduce , 9 , 9 , 1 , 0.6 , 150.2k
good , 5 , pmapsum1 , 9 , 9 , 1 , 0.36 , 158.0k
good , 6 , pmapsum2 , 9 , 9 , 1 , 0.31 , 126.4k
good , 2 , threads_sum , 8 , 1 , 8 , 0.23 , 240b
